trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2020-01-01 00:00:00,8812989407604454,merchant_B,entertainment,30.88,Bob,Brown,M,456 Oak St,Los Angeles,IL,75593,35.44751454458512,-93.49058814929188,988475,Doctor,1987-01-29 06:19:43,T0,1033432706,36.14620834019861,-81.55815559703163,0
2020-01-01 00:01:00,8387376972981410,merchant_A,food,176.71,Alice,Taylor,M,123 Elm St,Chicago,NY,16078,38.06923297157866,-87.40903040978777,210464,Doctor,1962-12-04 15:06:39,T1,1407119952,34.84352406375773,-75.83156496455697,0
2020-01-01 00:02:00,9523523788106078,merchant_B,food,305.57,Alice,Taylor,M,123 Elm St,New York,IL,41697,39.1673154109675,-94.99539556224784,981135,Artist,1979-03-18 23:59:08,T2,1305009590,36.379715889051475,-83.32646931061547,0
2020-01-01 00:03:00,6928501044893171,merchant_A,shopping,470.5,Jane,Taylor,M,456 Oak St,Chicago,NY,73619,38.900335173182725,-83.09085056149871,297398,Doctor,1950-04-22 22:52:38,T3,1533599982,40.534835693349166,-110.05721371603265,0
2020-01-01 00:04:00,2858252978789991,merchant_B,food,245.85,Alice,Taylor,M,456 Oak St,Los Angeles,IL,10070,39.77011998288349,-80.41073343802947,55789,Doctor,1976-01-14 11:23:34,T4,1000700597,36.262084055936526,-105.81708407084675,0
2020-01-01 00:05:00,3512260292959219,merchant_A,entertainment,286.78,Bob,Doe,M,123 Elm St,Los Angeles,NY,20271,36.612030181515806,-114.79850359604076,114005,Artist,1956-09-03 22:08:58,T5,1127019846,36.484671595393756,-95.74474391826797,0
2020-01-01 00:06:00,7659660662923549,merchant_A,shopping,430.63,John,Brown,M,456 Oak St,Chicago,IL,39051,34.64278819258185,-86.31132876976493,530322,Engineer,1966-06-27 18:28:22,T6,1142438686,34.59285366433478,-87.9996558515478,0
2020-01-01 00:07:00,9026334541192332,merchant_C,entertainment,4.47,Alice,Taylor,M,123 Elm St,Chicago,IL,12375,34.32514513764399,-99.87216747589261,296030,Doctor,1978-08-18 07:51:19,T7,1517752167,34.31780561520333,-87.52734718635733,0
2020-01-01 00:08:00,8788824055241582,merchant_A,food,480.86,Alice,Taylor,M,789 Pine St,New York,IL,54878,38.20408545480914,-102.48140130607791,554687,Artist,1980-07-10 11:58:16,T8,1442754322,36.09860376110836,-97.13120909867885,0
2020-01-01 00:09:00,3266399120477825,merchant_C,entertainment,475.81,Jane,Doe,F,123 Elm St,New York,IL,40173,40.138584835551285,-115.17073686253528,631529,Doctor,1969-04-26 22:56:53,T9,1175883861,37.72738329515219,-84.77496968686104,0
2020-01-01 00:10:00,6090378979727951,merchant_A,food,307.8,John,Taylor,M,456 Oak St,New York,CA,11688,36.45903251806843,-95.29809687236595,664048,Artist,1951-02-05 02:48:46,T10,1277167422,34.63031471332527,-116.95531420487166,0
2020-01-01 00:11:00,2864975510949255,merchant_A,shopping,464.35,Alice,Doe,M,123 Elm St,Los Angeles,NY,88305,37.072130055390026,-91.79828305110624,314223,Doctor,1974-03-09 19:15:10,T11,1410923814,34.622492561866935,-100.72025034061757,0
2020-01-01 00:12:00,1715893101285694,merchant_C,shopping,364.4,Alice,Brown,F,123 Elm St,Chicago,CA,71924,35.7901417764224,-93.64426996046299,149360,Doctor,1993-03-29 22:59:56,T12,1323672637,34.77062897882429,-112.01741188877052,0
2020-01-01 00:13:00,1111452856299479,merchant_A,food,450.9,Bob,Taylor,M,123 Elm St,Chicago,IL,58555,40.44538437776563,-84.45517653872557,260014,Engineer,1961-10-04 12:49:55,T13,1150330514,35.08388812133483,-98.78534781258632,0
2020-01-01 00:14:00,3440993513119721,merchant_C,food,159.8,Bob,Taylor,M,456 Oak St,New York,IL,85872,35.76972742286332,-109.58665770973404,79685,Doctor,1969-04-23 19:01:03,T14,1229264183,37.169340253477486,-74.2793400530868,0
2020-01-01 00:15:00,6015265362737501,merchant_A,entertainment,148.85,Bob,Taylor,M,456 Oak St,Chicago,CA,93610,34.64103783312238,-78.10354228572693,612839,Artist,1969-08-05 17:48:44,T15,1201652557,40.333065771350306,-112.17556139545322,0
2020-01-01 00:16:00,5085964216661145,merchant_B,shopping,4.91,Bob,Doe,F,123 Elm St,New York,IL,15232,40.01825134691753,-76.04693225538779,170286,Doctor,1982-11-13 00:26:22,T16,1339691293,39.76907115880664,-92.3593108870821,0
2020-01-01 00:17:00,9239657811209028,merchant_B,shopping,391.27,Alice,Taylor,M,456 Oak St,New York,NY,13325,40.155584338993364,-92.7544381472749,313727,Doctor,1974-10-18 02:30:03,T17,1423173448,39.33216036285612,-105.82086054306141,0
2020-01-01 00:18:00,3960678939966268,merchant_C,shopping,330.32,Bob,Brown,M,456 Oak St,Los Angeles,CA,28037,37.84855260842469,-97.41085920293445,521023,Lawyer,1974-08-19 19:20:33,T18,1411416015,36.48604059254928,-97.91344120698346,0
2020-01-01 00:19:00,9673047480308907,merchant_A,shopping,77.64,Jane,Smith,M,123 Elm St,Los Angeles,NY,23622,37.165042637128465,-100.18018320451164,217918,Doctor,1954-01-13 00:17:08,T19,1324432926,34.58997907462358,-116.29644324436234,0
2020-01-01 00:20:00,3081716534624138,merchant_A,shopping,316.54,Alice,Smith,F,123 Elm St,Los Angeles,NY,71287,39.84035052456258,-80.45300207678864,243213,Artist,1951-02-01 12:13:45,T20,1482321721,34.96933008588067,-84.474698548162,0
2020-01-01 00:21:00,5121927316446737,merchant_C,entertainment,131.65,Jane,Taylor,M,789 Pine St,New York,NY,67170,34.353821709516296,-108.55319749458701,255223,Engineer,1976-08-10 12:11:01,T21,1415299244,36.23671438982709,-116.42487270861828,0
2020-01-01 00:22:00,3828004064145955,merchant_C,shopping,225.62,John,Doe,M,456 Oak St,Los Angeles,IL,28059,35.44452155417027,-76.00472946738113,65790,Engineer,1976-10-20 20:24:31,T22,1552389486,34.59373148417503,-77.11258792592884,0
2020-01-01 00:23:00,1838144417524930,merchant_A,entertainment,424.62,Alice,Smith,M,123 Elm St,New York,CA,47952,34.74020894952311,-101.80146170561277,210483,Doctor,1952-12-30 01:24:33,T23,1553890574,36.007736656807545,-113.44360726583434,0
2020-01-01 00:24:00,1494198542845283,merchant_C,entertainment,137.44,Jane,Smith,F,456 Oak St,Chicago,NY,94600,40.658870970898334,-110.80758902819589,183470,Engineer,1992-09-23 08:56:45,T24,1580389666,38.96917923329096,-76.90858699532892,0
2020-01-01 00:25:00,1311428482248406,merchant_C,entertainment,365.27,Jane,Brown,F,123 Elm St,New York,CA,20911,39.59384936799677,-115.66707894851078,298420,Artist,1984-05-09 05:10:58,T25,1039526969,39.66153257091325,-96.13656165530654,0
2020-01-01 00:26:00,8998034208897310,merchant_C,shopping,287.6,Alice,Smith,M,123 Elm St,Los Angeles,CA,58398,37.8337914514415,-91.53465570998733,323795,Engineer,1999-06-29 09:51:49,T26,1330029935,37.44573981150994,-98.63996469517264,0
2020-01-01 00:27:00,5781588595576841,merchant_A,food,181.48,John,Smith,M,789 Pine St,New York,NY,37078,35.149468109393396,-84.37036334601237,466363,Artist,1972-12-09 20:36:10,T27,1346357214,39.21078543010047,-77.76245694403781,0
2020-01-01 00:28:00,7130432299168669,merchant_B,food,307.05,Jane,Doe,M,456 Oak St,Los Angeles,CA,94488,39.5229776871054,-113.27393005568986,503452,Lawyer,1966-06-29 19:11:46,T28,1302134588,34.40235934157862,-103.92031801426567,0
2020-01-01 00:29:00,3857028032571500,merchant_B,shopping,111.48,John,Taylor,F,123 Elm St,New York,NY,63211,39.21043939483338,-107.12827731068262,531352,Engineer,1980-12-31 07:11:12,T29,1499723734,37.93868905756694,-110.33302771172396,0
2020-01-01 00:30:00,6307071120749550,merchant_B,food,242.85,Alice,Brown,M,123 Elm St,Los Angeles,IL,69699,40.85828380064822,-87.406528562219,868369,Artist,1969-03-29 04:27:14,T30,1288915784,40.60245026018361,-109.82962003551685,0
2020-01-01 00:31:00,4527700847523850,merchant_B,shopping,418.34,John,Doe,M,456 Oak St,Chicago,NY,69152,40.70640939218162,-76.50193022417821,745801,Engineer,1978-04-03 16:15:59,T31,1409411489,38.446854572505714,-86.5388566473346,0
2020-01-01 00:32:00,9953425091834521,merchant_B,food,492.53,Alice,Smith,F,789 Pine St,New York,NY,39868,34.035961403435984,-86.24870196875992,494403,Lawyer,1972-11-01 03:01:17,T32,1165231222,40.78656629269561,-77.67793426169554,0
2020-01-01 00:33:00,9983136379029047,merchant_A,food,108.13,Alice,Doe,M,456 Oak St,New York,NY,78126,35.3374375686387,-105.41717662551522,751937,Doctor,1999-11-15 10:43:50,T33,1014788774,37.076470249912774,-94.32400157167726,1
2020-01-01 00:34:00,5517185769415546,merchant_B,food,296.64,Alice,Taylor,M,123 Elm St,New York,CA,95668,38.528276985565654,-89.00217368503354,893610,Lawyer,1958-01-29 17:59:11,T34,1520559829,39.63159107355272,-89.13220554365658,0
2020-01-01 00:35:00,5003564806798117,merchant_A,shopping,24.2,Jane,Smith,M,456 Oak St,New York,CA,22596,37.02424116431656,-99.65041364551159,193508,Lawyer,1995-02-28 03:16:32,T35,1599721554,36.20319829080409,-114.76010097373315,0
