trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2020-01-01 00:00:00,9839055710775256,merchant_A,entertainment,101.19,John,Doe,M,123 Elm St,New York,CA,76151,40.033015246945254,-86.36735120798406,529085,Engineer,1985-12-08 16:03:31,T0,1492642287,37.26800759756382,-75.95510377066554,0
2020-01-01 00:01:00,8978444094236357,merchant_C,entertainment,246.08,John,Taylor,F,789 Pine St,New York,NY,38895,38.601659758416446,-116.86376737245813,557390,Artist,1952-01-04 12:52:21,T1,1278868109,36.46915604271106,-114.90650327252607,0
2020-01-01 00:02:00,3213762277846469,merchant_C,food,37.58,John,Brown,M,789 Pine St,Chicago,NY,88536,36.18171612933924,-102.51502722961087,121210,Artist,1959-01-15 22:03:16,T2,1111479572,39.445525859132346,-100.97095253127566,0
2020-01-01 00:03:00,7239751757254077,merchant_B,entertainment,333.16,John,Smith,M,789 Pine St,Chicago,IL,70966,39.28763750632806,-112.03737260716403,969066,Engineer,1975-12-11 03:10:58,T3,1495163456,35.624950581278476,-91.43529585580605,0
2020-01-01 00:04:00,4171152380810376,merchant_A,shopping,361.58,Bob,Taylor,F,123 Elm St,Los Angeles,NY,83495,34.362893405759756,-84.84304919182172,713531,Engineer,1984-05-10 15:58:30,T4,1292778971,40.40588616774622,-111.27967084733407,0
2020-01-01 00:05:00,6123266964442846,merchant_A,food,232.25,Jane,Smith,M,789 Pine St,New York,IL,37336,34.65842579349702,-88.67127900140667,581943,Lawyer,1992-02-20 01:21:20,T5,1123450094,36.41700230896753,-106.6865576333414,0
2020-01-01 00:06:00,7289134090423522,merchant_B,entertainment,29.85,Bob,Taylor,F,456 Oak St,New York,CA,10249,36.739937976389896,-116.01151665273024,443671,Lawyer,1998-05-11 20:41:54,T6,1194189493,36.46934318628855,-106.37869212968428,0
2020-01-01 00:07:00,9008164240854666,merchant_B,food,290.65,John,Taylor,F,789 Pine St,New York,IL,62769,36.12674939016128,-92.95586608571378,311798,Doctor,1988-12-28 10:53:27,T7,1541554112,36.35608235995251,-110.7649459295278,0
2020-01-01 00:08:00,8331903965535786,merchant_C,shopping,231.41,Alice,Brown,M,456 Oak St,New York,CA,84760,37.33146000028115,-89.7115563061598,700897,Artist,1999-01-30 13:19:25,T8,1250584140,37.10790417049491,-89.23230561265507,0
2020-01-01 00:09:00,1376529430500466,merchant_B,entertainment,490.64,Bob,Brown,M,789 Pine St,New York,CA,16699,37.13734495602654,-110.35209142590512,313492,Engineer,1987-01-17 01:54:04,T9,1520020859,36.36711922451989,-94.19302168441817,0
